class, instance count, class indegree, class outdegree, classInstanceIndegreeMin,	classInstanceIndegreeAvg, classInstanceIndegreeMedian, classInstanceIndegreeMax, classInstanceOutdegreeMin,	classInstanceOutdegreeAvg, classInstanceOutdegreeMedian, classInstanceOutdegreeMax
<http://www.wikidata.org/entity/Q515>, 47, 99, 0, 15, 110.553191489, 107.0, 227, 128, 474.829787234, 465.0, 827
<http://www.wikidata.org/entity/Q134556>, 2, 4, 0, 6, 24.5, 24.5, 43, 56, 121.0, 121.0, 186
<http://www.wikidata.org/entity/Q16510064>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q6581097>, 0, 229, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q26907166>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q2188189>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q82955>, 0, 90, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q11344>, 25, 52, 0, 35, 124.68, 126.0, 188, 182, 478.04, 483.0, 710
<http://www.wikidata.org/entity/Q33999>, 0, 10, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q40080>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q3957>, 4, 8, 0, 36, 78.25, 69.0, 139, 203, 373.5, 398.0, 495
<http://www.wikidata.org/entity/Q13406463>, 4, 10, 0, 5, 45.0, 50.5, 74, 50, 176.0, 202.0, 250
<http://www.wikidata.org/entity/Q334166>, 1, 2, 0, 148, 148.0, 148.0, 148, 482, 482.0, 482.0, 482
<http://www.wikidata.org/entity/Q16334298>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q7302866>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q486972>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q79529>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q40218>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q634>, 0, 199, 639, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q2221906>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q178659>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
