class, instance count, class indegree, class outdegree, classInstanceIndegreeMin,	classInstanceIndegreeAvg, classInstanceIndegreeMedian, classInstanceIndegreeMax, classInstanceOutdegreeMin,	classInstanceOutdegreeAvg, classInstanceOutdegreeMedian, classInstanceOutdegreeMax
<http://sw.opencyc.org/concept/Mx4rv973YpwpEbGdrcN5Y29ycA>, 1898, 1983, 34, 0, 0.00105374077977, 0.0, 1, 4, 6.66912539515, 7.0, 15
<http://sw.opencyc.org/concept/Mx4rvVjT95wpEbGdrcN5Y29ycA>, 0, 23, 34, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rvVjK65wpEbGdrcN5Y29ycA>, 1671, 1706, 20, 0, 1.03052064632, 0.0, 777, 6, 11.4500299222, 11.0, 53
<http://sw.opencyc.org/concept/Mx4rv3HKmpwpEbGdrcN5Y29ycA>, 5, 29, 23, 0, 0.0, 0.0, 0, 5, 6.2, 7.0, 7
<http://sw.opencyc.org/concept/Mx4rwQtlDpwpEbGdrcN5Y29ycA>, 1, 19, 22, 0, 0.0, 0.0, 0, 4, 4.0, 4.0, 4
<http://sw.opencyc.org/concept/Mx4rvVji6JwpEbGdrcN5Y29ycA>, 172, 200, 20, 0, 10.226744186, 0.0, 330, 6, 13.273255814, 12.0, 91
<http://sw.opencyc.org/concept/Mx8Ngh4rwP1535wpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA>, 0, 54, 30, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rwClAZJwpEbGdrcN5Y29ycA>, 33, 200, 24, 0, 0.151515151515, 0.0, 2, 5, 7.84848484848, 8.0, 11
<http://sw.opencyc.org/concept/Mx4rvVjRL5wpEbGdrcN5Y29ycA>, 2, 11, 24, 0, 0.5, 0.5, 1, 8, 10.5, 10.5, 13
<http://sw.opencyc.org/concept/Mx4rvViVwZwpEbGdrcN5Y29ycA>, 1, 132, 43, 0, 0.0, 0.0, 0, 9, 9.0, 9.0, 9
<http://sw.opencyc.org/concept/Mx4rvVi-55wpEbGdrcN5Y29ycA>, 3, 22, 29, 0, 0.0, 0.0, 0, 5, 6.66666666667, 7.0, 8
<http://sw.opencyc.org/concept/Mx4rvVinsZwpEbGdrcN5Y29ycA>, 5, 106, 10, 0, 0.0, 0.0, 0, 5, 6.2, 6.0, 8
<http://sw.opencyc.org/concept/Mx4rvVjaHZwpEbGdrcN5Y29ycA>, 2154, 2168, 22, 0, 0.00278551532033, 0.0, 2, 4, 7.96053853296, 8.0, 21
<http://sw.opencyc.org/concept/Mx4rvViIeZwpEbGdrcN5Y29ycA>, 43, 175, 33, 0, 4.32558139535, 0.0, 72, 6, 11.0697674419, 8.0, 25
<http://sw.opencyc.org/concept/Mx4rvcUMxZwpEbGdrcN5Y29ycA>, 0, 31, 16, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rwQrzS5wpEbGdrcN5Y29ycA>, 0, 8, 15, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rvVkHM5wpEbGdrcN5Y29ycA>, 187, 207, 19, 0, 0.743315508021, 1.0, 13, 5, 16.320855615, 17.0, 29
<http://sw.opencyc.org/concept/Mx4rpPHhAOB1EdqAAAACs6hRXg>, 10547, 10573, 10, 0, 3.10960462691, 0.0, 1226, 6, 14.2285009955, 13.0, 144
<http://sw.opencyc.org/concept/Mx4rvVjqs5wpEbGdrcN5Y29ycA>, 44, 50, 15, 0, 0.0, 0.0, 0, 7, 10.0, 9.5, 15
