Entity	Relation	Value	Iteration of Promotion	Probability	Source	Entity literalStrings	Value literalStrings	Best Entity literalString	Best Value literalString	Categories for Entity	Categories for Value	Candidate Source
concept:sportsteam:ohio_state_buckeyes_men_s_basketball	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Ohio%20State%20Buckeyes%20men's%20basketball	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Ohio State Buckeyes men's basketball" 	"http://en.wikipedia.org/wiki/Ohio%20State%20Buckeyes%20men's%20basketball" 	Ohio State Buckeyes men's basketball	http://en.wikipedia.org/wiki/Ohio%20State%20Buckeyes%20men's%20basketball			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:city:wachapreague	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Wachapreague,%20Virginia	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"wachapreague" "Wachapreague" 	"http://en.wikipedia.org/wiki/Wachapreague,%20Virginia" 	wachapreague	http://en.wikipedia.org/wiki/Wachapreague,%20Virginia			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:drug:u_s__food_and_drug_administration	concept:atdate	concept:date:n2004	827	0.9375	MBL-Iter%3A827-2014%2F04%2F02-06%3A07%3A15-From+ErrorBasedIntegrator+%28CPL%28u_s__food_and_drug_administration%2Cn2004%29%29	"u.s. food and drug administration" "U.S. Food and Drug Administration" 	"2004" 	u.s. food and drug administration	2004		 concept:date	%5BCPL-Iter%3A691-2013%2F01%2F29-22%3A55%3A56-%3Ctoken%3Du_s__food_and_drug_administration%2Cn2004%3E-arg1+in+February+arg2%091%09arg1+in+September+arg2%091%09arg1+in+June+arg2%091%09arg1+in+December+arg2%092%5D
concept:crustacean:peregrino	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Peregrino	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Peregrino" 	"http://en.wikipedia.org/wiki/Peregrino" 	Peregrino	http://en.wikipedia.org/wiki/Peregrino			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:disease:psychogenic_pruritus	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Psychogenic%20pruritus	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Psychogenic pruritus" 	"http://en.wikipedia.org/wiki/Psychogenic%20pruritus" 	Psychogenic pruritus	http://en.wikipedia.org/wiki/Psychogenic%20pruritus			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:personnorthamerica:mike_gatting	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Mike%20Gatting	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Mike Gatting" 	"http://en.wikipedia.org/wiki/Mike%20Gatting" 	Mike Gatting	http://en.wikipedia.org/wiki/Mike%20Gatting			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:skiarea:stanzach	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Stanzach	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Stanzach" 	"http://en.wikipedia.org/wiki/Stanzach" 	Stanzach	http://en.wikipedia.org/wiki/Stanzach			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:militaryconflict:five_days_of_milan	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Five%20Days%20of%20Milan	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Five Days of Milan" 	"http://en.wikipedia.org/wiki/Five%20Days%20of%20Milan" 	Five Days of Milan	http://en.wikipedia.org/wiki/Five%20Days%20of%20Milan			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:writer:colin_mcnaughton	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Colin%20McNaughton	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Colin McNaughton" 	"http://en.wikipedia.org/wiki/Colin%20McNaughton" 	Colin McNaughton	http://en.wikipedia.org/wiki/Colin%20McNaughton			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
concept:plant:ocimum	concept:haswikipediaurl	http://en.wikipedia.org/wiki/Ocimum	710	0.95	MBL-Iter%3A710-2013%2F03%2F13-12%3A17%3A37-From+ErrorBasedIntegrator+%28AliasMatcher%28%2C%29%29	"Ocimum" 	"http://en.wikipedia.org/wiki/Ocimum" 	Ocimum	http://en.wikipedia.org/wiki/Ocimum			%5BAliasMatcher-Iter%3A621-2012%2F08%2F03-10%3A35%3A59-%3Ctoken%3D%3E-Freebase+7%2F9%2F2012%5D
